"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","ZA","WW"
"220","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","444","0","13164.00","13164.00","13164.00"
"221","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","471","0","90.00","24.41","24.41"
"222","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","479","0","249000.00","241245.21","234690.07"
"223","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","480","0","16450.00","16449.30","16449.30"
"224","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80146","430","0","7021.00","",""
"225","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80146","470","0","11702.00","11702.00","11702.00"
"226","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","302","0","1945.00","1934.89","1934.89"
"227","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","401","0","229000.00","223274.02","218259.81"
"228","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","404","0","17700.00","17668.16","17668.16"
"229","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","411","0","46000.00","43306.72","39707.84"
"230","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","412","0","6400.00","4788.00","4381.41"
"231","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","422","0","220000.00","216143.59","216143.59"
"232","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","428","0","303.00","237.00","237.00"
"233","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","444","0","7350.00","7350.00","7350.00"
"234","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80148","471","0","70.00","",""
"235","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80150","411","0","111360.00","111360.00","109062.29"
"236","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80150","412","0","15850.00","15850.00","15529.58"
"237","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80150","421","0","43750.00","43750.00","43750.00"
"238","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80150","471","0","30.00","",""
"239","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80150","479","0","601500.00","601500.00","597793.16"
"240","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80153","424","0","36367.69","36367.69","36367.69"
"241","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","854","85416","324","0","4960.00","4960.00","4960.00"
"242","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","302","0","11400.00","11346.38","11346.38"
"243","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","401","0","640000.00","628575.59","614798.45"
"244","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","404","0","33200.00","33133.65","33133.65"
"245","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","411","0","419789.00","418597.57","389258.45"
"246","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","412","0","65178.00","44638.57","40411.59"
"247","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","417","0","73000.00","70884.60","69679.40"
"248","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","421","0","95607.00","50352.41","50352.41"
"249","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","424","0","25000.00","25000.00","25000.00"
"250","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","426","0","161000.00","154144.85","154144.85"
"251","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","427","0","700.00","645.48","645.48"
"252","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","428","0","5643.00","4070.00","4070.00"
"253","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","430","0","58000.00","57704.96","57704.96"
"254","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","436","0","3000.00","2411.98","2411.98"
"255","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","441","0","2000.00","47.60","47.60"
"256","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","444","0","181846.00","172868.00","172868.00"
"257","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","470","0","4000.00","4000.00","4000.00"
"258","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","471","0","250.00","245.01","245.01"
"259","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","479","0","1747603.00","1729069.41","1679254.84"
"260","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","480","0","134500.00","134500.00","134500.00"
"261","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80101","606","0","76500.00","73500.00","73500.00"
"262","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","411","0","21600.00","19886.51","18140.07"
"263","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","412","0","2800.00","1979.83","1792.94"
"264","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","421","0","5000.00","5000.00","5000.00"
"265","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","444","0","7437.00","6700.00","6700.00"
"266","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","479","0","125000.00","114981.04","111758.71"
"267","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80107","480","0","12700.00","1320.52","1320.52"
"268","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80146","430","0","4227.00","1040.00","1040.00"
"269","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80146","470","0","7045.00","7045.00","7045.00"
"270","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","302","0","1891.00","751.84","751.84"
"271","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","401","0","180480.00","180220.52","178047.76"
"272","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","404","0","12520.00","12513.45","12513.45"
"273","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","411","0","35500.00","34143.90","31873.03"
"274","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","412","0","6000.00","3868.98","3617.77"
"275","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","421","0","3000.00","2994.99","2994.99"
"276","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","422","0","128700.00","127387.54","127387.54"
"277","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80148","444","0","6652.00","6651.88","6651.88"
"278","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","801","80153","424","0","25958.79","25958.79","25958.79"
"279","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb28s_719d37642b3d4feca667611f88b7970b","2022","Kwartal","4","854","85416","324","0","5208.00","5208.00","5208.00"
"280","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","302","0","7739.00","6491.26","6491.26"
"281","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","401","0","499644.00","466838.62","455758.85"
"282","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","404","0","35510.00","35509.41","35509.41"
"283","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","411","0","387401.00","362293.91","332194.11"
"284","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","412","0","47633.00","42512.52","39340.07"
"285","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","414","0","5140.00","1792.00","1792.00"
"286","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","417","0","5000.00","",""
"287","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","421","0","81637.00","46837.74","46837.74"
"288","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","424","0","52786.00","3568.17","3568.17"
"289","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb28s_c697fb77b2744fab8f6ee4572936b687","2022","Kwartal","4","801","80101","426","0","170040.00","162467.46","162467.46"
